STATE,MONTH_NAME,EVENT_TYPE,CZ_NAME,INJURIES_DIRECT,INJURIES_INDIRECT,total injuries,DEATHS_DIRECT,DEATHS_INDIRECT,total deaths,DAMAGE_PROPERTY,DAMAGE_CROPS,DAMAGE_PROPERTY_FIXED,DAMAGE_CROPS_FIXED,DAMAGE_SUM,OUR_METRIC
GEORGIA,November,Flood,HABERSHAM,0,0,0,0,0,0,0.50K,0.00K,500,0,500,3.33333E-05
KANSAS,October,Flood,SEDGWICK,0,0,0,0,0,0,0.40K,0.10K,400,100,500,3.33333E-05
PENNSYLVANIA,September,Flood,ALLEGHENY,0,0,0,0,0,0,0.00K,0.50K,0,500,500,3.33333E-05
WEST VIRGINIA,September,Flood,MARSHALL,0,0,0,0,0,0,0.00K,0.50K,0,500,500,3.33333E-05
LOUISIANA,March,Tornado,NATCHITOCHES,0,0,0,0,0,0,0.50K,0.00K,500,0,500,3.33333E-05
TEXAS,April,Tornado,HARRISON,0,0,0,0,0,0,0.50K,0.00K,500,0,500,3.33333E-05
SOUTH CAROLINA,July,Tornado,HORRY,0,0,0,0,0,0,0.50K,0.00K,500,0,500,3.33333E-05
FLORIDA,May,Tornado,BREVARD,0,0,0,0,0,0,0.50K,0.00K,500,0,500,3.33333E-05
IOWA,July,Tornado,MAHASKA,0,0,0,0,0,0,0.00K,0.50K,0,500,500,3.33333E-05
IOWA,July,Tornado,MAHASKA,0,0,0,0,0,0,0.00K,0.50K,0,500,500,3.33333E-05
IOWA,July,Tornado,WRIGHT,0,0,0,0,0,0,0.00K,0.50K,0,500,500,3.33333E-05
IOWA,July,Tornado,STORY,0,0,0,0,0,0,0.00K,0.50K,0,500,500,3.33333E-05
FLORIDA,September,Tropical Storm,MONROE/UPPER KEYS,0,0,0,0,0,0,0.50K,0.00K,500,0,500,3.33333E-05
IOWA,July,Tornado,WRIGHT,0,0,0,0,0,0,0.00K,0.70K,0,700,700,4.66667E-05
INDIANA,April,Flood,MORGAN,0,0,0,0,0,0,0.25K,0.50K,250,500,750,0.00005
IOWA,July,Tornado,JASPER,0,0,0,0,0,0,0.00K,0.80K,0,800,800,5.33333E-05
IOWA,July,Tornado,STORY,0,0,0,0,0,0,0.00K,0.80K,0,800,800,5.33333E-05
MISSISSIPPI,February,Flash Flood,NESHOBA,0,0,0,0,0,0,1.00K,0.00K,1000,0,1000,6.66667E-05
NORTH CAROLINA,April,Flash Flood,BURKE,0,0,0,0,0,0,1.00K,0.00K,1000,0,1000,6.66667E-05
ARIZONA,August,Flash Flood,MOHAVE,0,0,0,0,0,0,1.00K,0.00K,1000,0,1000,6.66667E-05
NEVADA,January,Flash Flood,CLARK,0,0,0,0,0,0,1.00K,0.00K,1000,0,1000,6.66667E-05
NEVADA,January,Flash Flood,CLARK,0,0,0,0,0,0,1.00K,0.00K,1000,0,1000,6.66667E-05
NEVADA,January,Flash Flood,CLARK,0,0,0,0,0,0,1.00K,0.00K,1000,0,1000,6.66667E-05
